date,week,ws,tce_usd_day,source,note
2020-12-04,2020-49,31,11500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2020/tanker-report-week-49.html,first report to state a TCE
2020-12-11,2020-50,34,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2020/tanker-report-week-50.html,TCE not stated
2020-12-18,2020-51,35,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2020/tanker-report-week-51.html,TCE not stated
2021-01-08,2021-1,40.5,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-1.html,TCE not stated; 2021 Worldscale flat rates fell about 17%
2021-01-15,2021-2,35,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-2.html,'just below WS35'; TCE not stated
2021-01-22,2021-3,30,-800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-3.html,
2021-01-29,2021-4,32.5,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-4.html,'just about a positive TCE'; not stated
2021-02-05,2021-5,31,1500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-5.html,
2021-02-12,2021-6,31.5,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-6.html,TCE not stated
2021-02-19,2021-7,32.75,,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-7.html,WS32.5/33 midpoint; TCE not stated
2021-02-26,2021-8,31.5,-2900,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-8.html,
2021-03-05,2021-9,30,-3300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-9.html,
2021-03-12,2021-10,28.25,-6000,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-10.html,WS28-28.5 midpoint
2021-03-19,2021-11,28.5,-5500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-11.html,
2021-04-09,2021-14,31.5,-500,https://balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-14.html,'about $500 below zero'
2021-04-30,2021-17,35,2000,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-17.html,
2021-05-07,2021-18,32.75,800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-18.html,WS32.5/33 midpoint
2021-05-14,2021-19,32.5,-1400,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-19.html,
2021-05-21,2021-20,34.5,1700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-20.html,
2021-05-28,2021-21,36.25,3250,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-21.html,WS36-36.5 midpoint
2021-06-04,2021-22,34.25,-100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-22.html,WS34-34.5 midpoint
2021-06-11,2021-23,31,-4100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-23.html,
2021-06-25,2021-25,32.5,-3500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-25.html,
