date,ws,tce_usd_day
2018-05-18,38,0
2018-05-19,38,0
2018-05-21,41.5,0
2018-05-22,38,0
2018-05-23,38,0
2018-05-24,38,0
2018-05-25,44,0
2018-05-27,44,0
2018-05-28,44,0
2018-05-29,46,0
2018-05-30,47.5,0
2018-05-31,47.5,0
2018-06-01,47.5,0
2018-06-03,47.5,0
2018-06-04,47.5,0
2018-06-05,47.5,0
2018-06-07,47.5,0
2018-06-08,47.5,0
2018-06-11,47.5,0
2018-06-12,47.5,0
2018-06-13,47.5,0
2018-06-14,46.5,0
2018-06-15,46.5,0
2018-06-17,46.5,0
2018-06-18,45,0
2018-06-19,47.5,0
2018-06-20,57,0
2018-06-21,57.5,0
2018-06-22,55,0
2018-06-23,55,0
2018-06-24,55,0
2018-06-25,55,0
2018-06-26,55,0
2018-06-27,55,0
2018-06-28,52,0
2018-06-29,52,0
2018-07-01,52,0
2018-07-02,48.5,0
2018-07-03,47,0
2018-07-04,47,0
2018-07-05,47,0
2018-07-06,48,0
2018-07-09,48,0
2018-07-10,47,0
2018-07-11,47,0
2018-07-12,47,0
2018-07-13,47,0
2018-07-16,47,0
2018-07-17,47,0
2018-07-18,46.5,0
2018-07-19,43,0
2018-07-20,45,0
2018-07-23,45,0
2018-07-24,46,0
2018-07-25,46,0
2018-07-26,49,0
2018-07-27,50,0
2018-07-28,50,0
2018-07-29,50,0
2018-07-30,50,0
2018-07-31,50,0
2018-08-01,50,0
2018-08-02,50,0
2018-08-03,51,0
2018-08-04,51,0
2018-08-05,51,0
2018-08-06,52.5,0
2018-08-07,52.5,0
2018-08-08,51,0
2018-08-09,50,0
2018-08-10,50,0
2018-08-12,50,0
2018-08-13,50,0
2018-08-14,49,0
2018-08-15,49,0
2018-08-16,50,0
2018-08-17,50,0
2018-08-20,55.5,0
2018-08-21,50,0
2018-08-22,50,0
2018-08-23,55.5,0
2018-08-24,56,0
2018-08-26,56,0
2018-08-27,56,0
2018-08-28,56,0
2018-08-29,56,0
2018-08-30,55,0
2018-08-31,55,0
2018-09-02,55,0
2018-09-03,53.5,0
2018-09-04,53.5,0
2018-09-05,53,0
2018-09-06,53,0
2018-09-07,50,0
2018-09-10,50,0
2018-09-11,51,0
2018-09-12,52,0
2018-09-13,52,0
2018-09-14,52,0
2018-09-16,52,0
2018-09-17,52,0
2018-09-18,51,0
2018-09-19,51,0
2018-09-20,53,0
2018-09-21,53,0
2018-09-24,53,0
2018-09-25,53,0
2018-09-26,54,0
2018-09-27,55,0
2018-09-28,55,0
2018-09-29,55,0
2018-09-30,55,0
2018-10-01,60,0
2018-10-02,64,0
2018-10-03,64,0
2018-10-04,66,0
2018-10-05,66,0
2018-10-08,82,0
2018-10-09,82,0
2018-10-10,80,0
2018-10-11,80,0
2018-10-12,80,0
2018-10-15,80,0
2018-10-16,87,0
2018-10-17,87,0
2018-10-18,81.5,0
2018-10-19,79,0
2018-10-20,79,0
2018-10-22,79,0
2018-10-23,79,0
2018-10-24,79,0
2018-10-25,78.5,0
2018-10-26,78.5,0
2018-10-27,78.5,0
2018-10-28,78.5,0
2018-10-29,95,0
2018-10-30,96,0
2018-10-31,96,0
2018-11-01,96,0
2018-11-02,96.5,0
2018-11-05,92.5,0
2018-11-06,93,0
2018-11-07,92.5,0
2018-11-08,92.5,0
2018-11-09,92.5,0
2018-11-11,92.5,0
2018-11-12,93.5,0
2018-11-13,89.5,0
2018-11-14,89.5,0
2018-11-15,86.5,0
2018-11-16,86.5,0
2018-11-19,87.5,0
2018-11-20,87.5,0
2018-11-21,90,0
2018-11-22,92,0
2018-11-23,91,0
2018-11-26,90,0
2018-11-27,89.5,0
2018-11-28,89.5,0
2018-11-29,95,0
2018-11-30,95,0
2018-12-02,95,0
2018-12-03,100,0
2018-12-04,97.5,0
2018-12-05,95,0
2018-12-06,95,0
2018-12-07,90,0
2018-12-09,90,0
2018-12-10,89,0
2018-12-11,87.5,0
2018-12-12,84,0
2018-12-13,84,0
2018-12-14,84,0
2018-12-17,82.5,0
2018-12-18,83.5,0
2018-12-19,82.5,0
2018-12-20,82.5,0
2018-12-21,80,0
2018-12-24,80,0
2018-12-27,80,0
2018-12-28,80,0
2019-01-02,71,0
2019-01-03,71,0
2019-01-04,71,0
2019-01-07,68,0
2019-01-08,68,0
2019-01-09,58,0
2019-01-10,55,0
2019-01-11,55,0
2019-01-14,55,0
2019-01-15,54,0
2019-01-16,54,0
2019-01-17,54,0
2019-01-18,55,0
2019-01-19,55,0
2019-01-20,55,0
2019-01-21,56,0
2019-01-22,56,0
2019-01-23,53,0
2019-01-24,53,0
2019-01-25,53,0
2019-01-28,53,0
2019-01-29,50,0
2019-01-30,50,0
2019-01-31,49,0
2019-02-01,45,0
2019-02-04,44,0
2019-02-05,42.5,0
2019-02-06,42.5,0
2019-02-07,42.5,0
2019-02-08,39,0
2019-02-11,39,0
2019-02-12,39,0
2019-02-13,39,0
2019-02-14,41.5,0
2019-02-15,41.5,0
2019-02-18,51,0
2019-02-19,57.5,0
2019-02-20,57.5,0
2019-02-21,57.5,0
2019-02-22,57.5,0
2019-02-25,57.5,0
2019-02-26,60,0
2019-02-27,63.5,0
2019-02-28,65,0
2019-03-01,67.5,0
2019-03-04,67.5,0
2019-03-05,67.5,0
2019-03-06,67.5,0
2019-03-08,67.5,0
2019-03-11,63,0
2019-03-12,63.5,0
2019-03-13,60,31900
2019-03-14,59,29800
2019-03-15,59,29800
2019-03-18,59,30900
2019-03-19,59,30900
2019-03-20,58,29800
2019-03-21,57,29800
2019-03-22,56,26761
2019-03-24,56,26761
2019-03-25,56,27800
2019-03-26,51,22600
2019-03-27,46,17300
2019-03-28,46,17300
2019-03-29,44,17300
2019-03-31,43,17000
2019-04-01,40,11500
2019-04-02,35,6100
2019-04-03,37.5,8700
2019-04-04,37.5,8700
2019-04-05,37,8200
2019-04-07,37,8200
2019-04-08,37,8200
2019-04-09,36.5,8000
2019-04-10,36,8100
2019-04-11,39,9200
2019-04-12,39,9200
2019-04-14,39,9200
2019-04-15,39,10300
2019-04-16,40,10300
2019-04-17,42,10300
2019-04-18,43.5,10300
2019-04-19,43.5,10300
2019-04-23,42.5,13900
2019-04-24,42.5,13900
2019-04-25,40,11300
2019-04-26,39,11300
2019-04-29,38,9200
2019-04-30,37,8500
2019-05-01,37,8500
2019-05-02,37,8500
2019-05-03,37,8500
2019-05-05,37,8500
2019-05-06,37,8500
2019-05-07,35,6100
2019-05-08,34,5600
2019-05-09,35,5600
2019-05-10,36,7200
2019-05-12,36,7200
2019-05-13,37.5,8700
2019-05-14,38,9200
2019-05-15,40,11300
2019-05-16,40,11300
2019-05-17,40,11300
2019-05-19,40,11300
2019-05-20,40,11300
2019-05-21,40,11300
2019-05-22,40,11300
2019-05-23,40,11300
2019-05-24,39,10300
2019-05-27,37.5,9800
2019-05-28,37.5,9000
2019-05-29,37,8200
2019-05-30,37,8200
2019-05-31,37,8200
2019-06-01,37,8200
2019-06-03,37,8200
2019-06-04,37,8200
2019-06-05,38.5,8200
2019-06-06,36,7200
2019-06-07,36,7200
2019-06-09,36,7200
2019-06-10,32,6100
2019-06-11,35,6100
2019-06-12,35,6100
2019-06-13,35,6100
2019-06-14,38.5,9700
2019-06-17,41,12300
2019-06-18,44,15400
2019-06-19,46,17500
2019-06-20,50,21600
2019-06-21,50,21600
2019-06-24,50,21600
2019-06-25,49,20600
2019-06-26,49,20600
2019-06-27,48,19500
2019-06-28,48,19500
2019-06-30,47,18900
2019-07-01,46,18900
2019-07-02,46,17500
2019-07-03,46,17500
2019-07-04,45,16400
2019-07-05,45,16400
2019-07-08,45,16400
2019-07-09,45,16400
2019-07-10,43,14400
2019-07-11,42.5,13900
2019-07-12,42.5,13900
2019-07-14,42.5,13900
2019-07-15,42.5,13900
2019-07-16,42.5,13900
2019-07-17,42.5,13900
2019-07-18,42,13400
2019-07-19,41,12300
2019-07-22,40,11300
2019-07-23,41,12300
2019-07-24,41,12300
2019-07-25,40,11300
2019-07-26,40,11300
2019-07-29,40,11300
2019-07-30,40,11300
2019-07-31,40,11300
2019-08-01,42.5,13900
2019-08-02,44,15400
2019-08-05,48,19500
2019-08-06,49,20600
2019-08-07,52.5,24200
2019-08-08,52.5,24200
2019-08-09,52.5,24200
2019-08-12,51.5,23100
2019-08-13,50,21600
2019-08-14,52.5,24200
2019-08-15,55,26800
2019-08-16,60,31900
2019-08-19,65,37100
2019-08-20,66,38100
2019-08-21,65,37100
2019-08-22,64,36000
2019-08-23,64,35000
2019-08-26,64,35000
2019-08-27,62,34500
2019-08-28,60,31900
2019-08-29,60,31900
2019-08-30,59,30900
2019-09-02,56,27800
2019-09-03,51,22600
2019-09-04,52,23700
2019-09-05,50,21600
2019-09-06,50,21600
2019-09-09,50,21600
2019-09-10,51.5,23100
2019-09-11,52,23700
2019-09-12,52.5,24200
2019-09-13,52.5,24200
2019-09-16,62.5,34500
2019-09-17,65,37100
2019-09-18,65,37100
2019-09-19,67.5,39600
2019-09-20,67.5,39600
2019-09-23,67.5,39600
2019-09-24,67,39100
2019-09-25,61,32900
2019-09-26,75,47400
2019-09-27,82.5,55100
2019-09-30,85,57700
2019-10-01,90,62800
2019-10-02,92.5,65400
2019-10-03,100,73100
2019-10-04,115,88600
2019-10-07,120,93800
2019-10-08,132.5,106600
2019-10-09,140,114400
2019-10-10,202.5,178800
2019-10-11,290,269000
2019-10-14,290,269000
2019-10-15,190,165900
2019-10-16,142.5,116900
2019-10-17,125,98900
2019-10-18,110,83400
2019-10-21,110,83400
2019-10-22,110,83400
2019-10-23,105,78300
2019-10-24,97.5,70600
2019-10-25,95,68000
2019-10-26,95,68000
2019-10-28,92.5,65400
2019-10-29,92.5,65400
2019-10-30,87.5,62800
2019-10-31,92.5,65400
2019-11-01,87.5,60300
2019-11-04,87.5,60300
2019-11-05,87.5,60300
2019-11-06,84,56600
2019-11-07,80,52500
2019-11-08,75,47400
2019-11-09,75,47400
2019-11-11,74,46300
2019-11-12,74,46300
2019-11-13,75,47400
2019-11-14,75,47400
2019-11-15,76,48400
2019-11-18,82.5,55100
2019-11-19,89,61800
2019-11-20,95,68000
2019-11-21,110,83400
2019-11-22,112.5,86000
2019-11-25,120,93800
2019-11-26,120,93800
2019-11-27,115,91200
2019-11-28,115,88600
2019-11-29,100,73100
2019-12-01,100,73100
2019-12-02,95,68000
2019-12-03,95,68000
2019-12-04,92.5,65400
2019-12-05,90,65400
2019-12-06,97.5,70600
2019-12-09,108.5,81900
2019-12-10,110,83400
2019-12-11,110,83400
2019-12-12,101.5,74700
2019-12-13,100,73100
2019-12-16,100,73100
2019-12-17,118,91700
2019-12-18,122.5,96300
2019-12-19,120,93800
2019-12-20,122.5,96300
2019-12-23,122.5,96300
2019-12-24,120,93800
2019-12-27,135,93800
2019-12-28,135,93800
2019-12-30,138.5,112800
2019-12-31,135,109200
2020-01-01,145,109200
2020-01-02,140,114400
2020-01-03,142,116400
2020-01-06,142,116400
2020-01-07,145,119500
2020-01-08,145,119500
2020-01-09,145,119500
2020-01-10,125,98900
2020-01-13,105,78300
2020-01-14,92.5,65400
2020-01-15,85,57700
2020-01-16,85,66600
2020-01-17,87.5,69700
2020-01-20,87.5,69700
2020-01-21,87.5,69700
2020-01-22,87.5,69700
2020-01-23,80,60400
2020-01-24,77.5,57300
2020-01-27,70,48100
2020-01-28,65,41900
2020-01-29,65,41900
2020-01-30,57.5,32600
2020-01-31,52.5,26400
2020-02-03,51.5,25200
2020-02-04,44,16000
2020-02-05,44,16000
2020-02-06,44,16000
2020-02-07,41.5,12900
2020-02-10,42.5,14100
2020-02-11,42.5,14100
2020-02-12,42.5,14200
2020-02-13,40,9300
2020-02-14,40,9300
2020-02-17,40,9300
2020-02-18,41,10600
2020-02-19,41,10600
2020-02-20,41,10600
2020-02-21,41,10600
2020-02-24,42,11800
2020-02-25,42.5,12400
2020-02-26,42.5,12400
2020-02-27,47.5,18600
2020-02-28,47.5,18600
2020-03-02,47.5,18600
2020-03-03,49,20400
2020-03-04,47,18000
2020-03-05,47.5,18600
2020-03-06,45,15500
2020-03-09,57.5,32600
2020-03-10,95,78900
2020-03-11,170,171500
2020-03-12,182.5,187000
2020-03-13,215,227100
2020-03-16,225,239500
2020-03-17,205,237800
2020-03-18,162.5,163000
2020-03-19,125,114300
2020-03-20,112.5,100500
2020-03-23,97.5,80300
2020-03-24,90,72800
2020-03-25,105,91300
2020-03-26,115,103600
2020-03-27,190,196200
2020-03-30,205,214800
2020-03-31,210,220900
2020-04-01,210,220900
2020-04-02,195,219200
2020-04-03,200,206900
2020-04-06,150,145200
2020-04-07,120,108100
2020-04-08,130,120500
2020-04-09,185,190100
2020-04-10,185,190100
2020-04-12,165,163700
2020-04-13,165,190100
2020-04-14,165,163700
2020-04-15,155,151300
2020-04-16,152.5,148200
2020-04-17,150,145200
2020-04-19,150,145200
2020-04-20,160,157500
2020-04-21,195,200700
2020-04-22,195,202400
2020-04-23,155,151300
2020-04-24,155,151300
2020-04-27,150,145200
2020-04-28,140,132800
2020-04-29,117.5,105000
2020-04-30,85,64900
2020-05-01,75,52500
2020-05-03,75,52500
2020-05-04,72.5,49500
2020-05-05,55,55000
2020-05-06,57.63,52074
2020-05-07,58.09,51953
2020-05-08,58.09,51953
2020-05-11,59.75,55044
2020-05-12,60.42,55311
2020-05-13,60.08,55307
2020-05-14,59.63,55377
2020-05-15,58.92,54472
2020-05-17,58.92,54472
2020-05-18,57.58,51882
2020-05-19,57.29,50513
2020-05-20,54.96,47030
2020-05-21,50.42,41361
2020-05-22,51.54,40522
2020-05-24,51.54,40522
2020-05-25,49.88,40522
2020-05-26,50.04,41596
2020-05-27,66.79,60919
2020-05-28,66.42,60891
2020-05-29,65.75,60992
2020-06-01,64.33,59436
2020-06-02,58.13,50055
2020-06-03,56.63,48067
2020-06-04,55.5,46315
2020-06-05,57.33,48862
2020-06-06,57.33,48862
2020-06-07,57.33,48862
2020-06-08,58.08,49310
2020-06-09,58.75,48579
2020-06-10,59.25,50245
2020-06-11,59.67,50179
2020-06-12,60.92,50436
2020-06-13,60.92,50436
2020-06-14,60.92,50436
2020-06-15,59.75,51224
2020-06-16,59.25,50535
2020-06-17,58.71,48838
2020-06-18,56,45522
2020-06-19,55.46,44666
2020-06-20,55.46,44666
2020-06-21,55.46,44666
2020-06-22,52.08,40117
2020-06-23,42.28,28224
2020-06-24,36.67,21080
2020-06-25,36.71,21672
2020-06-26,36.38,21923
2020-06-29,35.58,20440
2020-06-30,34.79,20108
2020-07-01,34.64,19378
2020-07-02,35.67,20094
2020-07-03,35.65,20076
2020-07-06,40.52,26119
2020-07-07,43.88,29770
2020-07-08,44.92,31529
2020-07-09,46.5,33361
2020-07-10,46.35,32969
2020-07-13,45.25,31622
2020-07-14,43.88,29765
2020-07-15,43,28970
2020-07-16,42.38,27950
2020-07-17,42.25,27799
2020-07-20,42,27547
2020-07-21,41.25,26560
2020-07-22,39.33,23436
2020-07-23,38.17,21674
2020-07-24,35.42,18228
2020-07-26,35.42,18228
2020-07-27,35.79,19201
2020-07-28,36.21,19904
2020-07-29,36.21,19833
2020-07-30,35.96,19401
2020-07-31,35.6,19136
2020-08-02,35.6,19136
2020-08-03,35.5,19016
2020-08-04,34.83,18615
2020-08-05,34.5,18251
2020-08-06,33.88,16664
2020-08-07,33.67,16569
2020-08-10,33.8,16941
2020-08-11,32.58,15438
2020-08-12,33,15746
