month,bdti_monthly_avg,drewry_ws_pg_japan,note
2008-01,1396,,
2008-02,1093,,
2008-03,1313,,
2008-04,1539,,
2008-05,1939,,
2008-06,1943,,
2008-07,2072,,BDTI all-2008 high 2347 on 2008-07-23
2008-08,1510,,
2008-09,1498,,Lehman Brothers filed 2008-09-15
2008-10,1377,,OPEC 1.5 mb/d cut announced 2008-10-24
2008-11,1065,,
2008-12,1280,66,OPEC 2.2 mb/d cut announced 2008-12-17; 4.2 mb/d total from Sept levels
2009-01,718,51,
2009-02,590,44,
2009-03,635,41,
2009-04,480,27,BDTI low 453 on 2009-04-15
2009-05,478,27,
2009-06,613,46,
2009-07,516,42,
2009-08,485,40,
2009-09,514,33,
2009-10,565,43,
2009-11,634,44,
2009-12,753,56,
2010-01,1127,104,
